row,col,x_center_nominal_mm,y_scanline_relative_mm,start_source_index,stop_source_index_exclusive,sample_count,median_current_A,mean_current_A,std_current_A,high_sample_fraction,binary_0_low_1_high
3,8,17.0,6.0,17090,17168,78,2.48e-05,2.48e-05,0.0,1.0,1
3,9,19.0,6.0,17012,17090,78,2.48e-05,2.4805128205128206e-05,2.205724427446806e-08,1.0,1
3,10,21.0,6.0,16935,17012,77,2.48e-05,2.4818181818181816e-05,3.856946079199313e-08,1.0,1
3,11,23.0,6.0,16857,16935,78,2.49e-05,2.4874358974358976e-05,4.366509324596471e-08,1.0,1
3,12,25.0,6.0,16779,16857,78,2.45e-05,2.433205128205128e-05,4.2981617708981135e-07,1.0,1
3,13,27.0,6.0,16701,16779,78,1.895e-05,1.430179487179487e-05,7.513367189351588e-06,0.5384615384615384,1
3,14,29.0,6.0,16623,16701,78,3.87e-06,3.874102564102564e-06,7.463476706578404e-08,0.0,0
3,15,31.0,6.0,16546,16623,77,3.74e-06,3.737272727272728e-06,1.3545149477955807e-08,0.0,0
3,16,33.0,6.0,16468,16546,78,3.71e-06,3.7052564102564112e-06,8.121569725493263e-09,0.0,0
3,17,35.0,6.0,16390,16468,78,3.73e-06,3.7266666666666685e-06,6.730463973541912e-09,0.0,0
3,18,37.0,6.0,16312,16390,78,3.68e-06,3.6837179487179484e-06,1.6878827152638672e-08,0.0,0
3,19,39.0,6.0,16234,16312,78,3.68e-06,3.6765384615384613e-06,9.58456599567461e-09,0.0,0
3,20,41.0,6.0,16156,16234,78,3.65e-06,3.6520512820512813e-06,1.3044202402027639e-08,0.0,0
3,21,43.0,6.0,16079,16156,77,3.64e-06,3.643766233766234e-06,7.0322007120421326e-09,0.0,0
3,22,45.0,6.0,16001,16079,78,3.63e-06,3.6270512820512832e-06,5.797650797228157e-09,0.0,0
3,23,47.0,6.0,15923,16001,78,3.66e-06,3.6538461538461542e-06,9.368628669971896e-09,0.0,0
3,24,49.0,6.0,15845,15923,78,3.64e-06,3.6405128205128205e-06,6.180497842663646e-09,0.0,0
3,25,51.0,6.0,15767,15845,78,3.65e-06,3.64948717948718e-06,6.582306488714667e-09,0.0,0
3,26,53.0,6.0,15690,15767,77,3.65e-06,3.6405194805194807e-06,1.8438814502283544e-08,0.0,0
3,27,55.0,6.0,15612,15690,78,3.6e-06,3.6030769230769213e-06,4.615384615384767e-09,0.0,0
3,28,57.0,6.0,15534,15612,78,3.6e-06,3.5997435897435883e-06,1.5806189751202354e-09,0.0,0
3,29,59.0,6.0,15456,15534,78,3.6e-06,3.6033333333333316e-06,5.4694176942825855e-09,0.0,0
3,30,61.0,6.0,15378,15456,78,3.6e-06,3.5993589743589724e-06,7.221716464362977e-09,0.0,0
3,31,63.0,6.0,15301,15378,77,3.59e-06,3.5875324675324666e-06,6.4779033316050955e-09,0.0,0
3,32,65.0,6.0,15223,15301,78,3.6e-06,3.5967948717948707e-06,4.666737108513107e-09,0.0,0
3,33,67.0,6.0,15145,15223,78,3.6e-06,3.5966666666666655e-06,4.714045207910272e-09,0.0,0
3,34,69.0,6.0,15067,15145,78,3.6e-06,3.598333333333331e-06,5.642482329401406e-09,0.0,0
3,35,71.0,6.0,14989,15067,78,3.6e-06,3.601153846153845e-06,4.523661221635313e-09,0.0,0
3,36,73.0,6.0,14911,14989,78,3.6e-06,3.5956410256410244e-06,4.958738360465008e-09,0.0,0
3,37,75.0,6.0,14834,14911,77,3.59e-06,3.59e-06,4.264014327112168e-09,0.0,0
3,38,77.0,6.0,14756,14834,78,3.58e-06,3.583076923076922e-06,5.141009655323905e-09,0.0,0
3,39,79.0,6.0,14678,14756,78,3.57e-06,3.584615384615384e-06,3.7474514679887393e-08,0.0,0
3,40,81.0,6.0,14600,14678,78,2.2400000000000002e-05,1.893871794871795e-05,6.170080695764193e-06,0.8461538461538461,1
3,41,83.0,6.0,14522,14600,78,2.33e-05,2.3323076923076917e-05,4.213250442347393e-08,1.0,1
3,42,85.0,6.0,14445,14522,77,2.33e-05,2.333376623376623e-05,6.763229385086447e-08,1.0,1
3,43,87.0,6.0,14367,14445,78,2.32e-05,2.315e-05,1.4741359920566778e-07,1.0,1
3,44,89.0,6.0,14289,14367,78,2.34e-05,2.3385897435897433e-05,3.4804799898713066e-08,1.0,1
3,45,91.0,6.0,14211,14289,78,2.35e-05,2.3474358974358976e-05,4.3665093245964704e-08,1.0,1
3,46,93.0,6.0,14133,14211,78,4.3700000000000005e-06,9.910769230769227e-06,8.537063803360203e-06,0.28205128205128205,0
3,47,95.0,6.0,14056,14133,77,3.68e-06,3.6751948051948045e-06,4.99620365238212e-09,0.0,0
3,48,97.0,6.0,13978,14056,78,3.68e-06,3.6797435897435888e-06,4.521844125268776e-09,0.0,0
3,49,99.0,6.0,13900,13978,78,3.68e-06,3.6834615384615377e-06,4.757429568020332e-09,0.0,0
4,0,1.0,8.0,17915,17993,78,2.47e-05,2.4747435897435896e-05,4.993421049782118e-08,1.0,1
4,1,3.0,8.0,17993,18071,78,2.48e-05,2.4796153846153845e-05,1.923076923076905e-08,1.0,1
4,2,5.0,8.0,18071,18148,77,2.48e-05,2.476363636363636e-05,4.810456929208301e-08,1.0,1
4,3,7.0,8.0,18148,18226,78,2.48e-05,2.475897435897436e-05,4.9188015623719743e-08,1.0,1
4,4,9.0,8.0,18226,18304,78,2.48e-05,2.47551282051282e-05,4.973631984941188e-08,1.0,1
4,5,11.0,8.0,18304,18382,78,2.47e-05,2.473461538461538e-05,4.7574295680203314e-08,1.0,1
4,6,13.0,8.0,18382,18460,78,2.47e-05,2.4721794871794866e-05,4.1285236379755044e-08,1.0,1
4,7,15.0,8.0,18460,18537,77,2.47e-05,2.4701298701298697e-05,1.1321815437767877e-08,1.0,1
4,8,17.0,8.0,18537,18615,78,2.47e-05,2.4703846153846145e-05,1.923076923076905e-08,1.0,1
4,9,19.0,8.0,18615,18693,78,2.47e-05,2.4703846153846145e-05,1.923076923076905e-08,1.0,1
4,10,21.0,8.0,18693,18771,78,2.47e-05,2.470384615384615e-05,1.9230769230769045e-08,1.0,1
4,11,23.0,8.0,18771,18849,78,2.47e-05,2.47051282051282e-05,3.16123795024047e-08,1.0,1
4,12,25.0,8.0,18849,18927,78,2.455e-05,2.4002564102564107e-05,9.256978461145507e-07,1.0,1
4,13,27.0,8.0,18927,19004,77,5.63e-06,1.0166493506493506e-05,6.596618922675221e-06,0.4155844155844156,0
4,14,29.0,8.0,19004,19082,78,3.59e-06,3.587820512820512e-06,6.128419693701029e-09,0.0,0
